orig_index,Comment,clean_text,anomaly_score,cluster
8783,отличный плейлист  послушала прям с удовольствием ,отличный плейлист послушала прям с удовольствием,0.4687459163508712,19
4966,ich werde bestimmt nicht dabei sein – und ich hätte auch überhaupt nichts dagegen wenn apple nur alle 3 jahre oder so mal ein neues modell herausbringt wer braucht alle diese marginalen verbesserungen mein altes se ist immer noch ein sehr gutes telefon verwaltet termine und nachrichten prima und unterstützt die organisation meines business ganz hervorragend,ich werde bestimmt nicht dabei sein – und ich hätte auch überhaupt nichts dagegen wenn apple nur alle 3 jahre oder so mal ein neues modell herausbringt wer braucht alle diese marginalen verbesserungen mein altes se ist immer noch ein sehr gutes telefon verwaltet termine und nachrichten prima und unterstützt die organisation meines business ganz hervorragend,0.46860871934048204,7
712,අනෙ යකො සුපඩීසල් ගොවිතැනට නොව තොපෙ සුපගිබොග වාහන සදහා තොපෙ ඉපදෙන හො ඉපදිලා ඉන දරුවන්ටත් එක්ක හෙන 7ගහනව යකො,අනෙ යකො සුපඩීසල් ගොවිතැනට නොව තොපෙ සුපගිබොග වාහන සදහා තොපෙ ඉපදෙන හො ඉපදිලා ඉන දරුවන්ටත් එක්ක හෙන 7ගහනව යකො,0.4677949776851506,19
8876,𝗧𝗿𝗲𝗻𝗱𝗶𝗻𝗴 𝗮𝗱𝘂𝗹𝘁 𝗽𝗼𝗿𝗻 𝘃𝗶𝗱𝗲𝗼𝘀 𝗼𝗻𝗹𝘆 alles sehr schön aber zuerst zusammen die nummern 10 und 1 eine empronline brünette und eine andere blondine es wäre unfairg wenn ich 4 wählen würde,𝗧𝗿𝗲𝗻𝗱𝗶𝗻𝗴 𝗮𝗱𝘂𝗹𝘁 𝗽𝗼𝗿𝗻 𝘃𝗶𝗱𝗲𝗼𝘀 𝗼𝗻𝗹𝘆 alles sehr schön aber zuerst zusammen die nummern 10 und 1 eine empronline brünette und eine andere blondine es wäre unfairg wenn ich 4 wählen würde,0.4674571221994556,19
9475,looks great the bakery where i work makes blueberry cornmeal muffins for dairy we use sour cream rather than milkbuttermilk and we also add a little lemon zest and vanilla but otherwise very similar someone has maybe already commented this but we also toss the blueberries with one reserved cup for a recipe of this size probably a couple teaspoons or a tablespoon would be perfect of the dry ingredients before mixing them in to keep them from sinking blueberries and cornmeal make a great combo,looks great the bakery where i work makes blueberry cornmeal muffins for dairy we use sour cream rather than milkbuttermilk and we also add a little lemon zest and vanilla but otherwise very similar someone has maybe already commented this but we also toss the blueberries with one reserved cup for a recipe of this size probably a couple teaspoons or a tablespoon would be perfect of the dry ingredients before mixing them in to keep them from sinking blueberries and cornmeal make a great combo,0.4669715044648635,12
711,සජියො ඔබගෙ තාත්ත ගෙ කාලෙ අමතකද තරුන කොල්ලො කෙල්ලො හැටදාහක් මරන කොට ඔබ කොහෙද හිටියෙ ඔබත් බලය ගන්න දගලන දැගලිල්ල,සජියො ඔබගෙ තාත්ත ගෙ කාලෙ අමතකද තරුන කොල්ලො කෙල්ලො හැටදාහක් මරන කොට ඔබ කොහෙද හිටියෙ ඔබත් බලය ගන්න දගලන දැගලිල්ල,0.4667322361958704,19
18264,thank you 3blue1brown for these videos theyre extremely instructive however theres one point that i didnt understand why does the gradient descent algorithm struggle to find local minimas with swapped labels if anyone could answer my question id be very grateful thank you,thank you 3blue1brown for these videos theyre extremely instructive however theres one point that i didnt understand why does the gradient descent algorithm struggle to find local minimas with swapped labels if anyone could answer my question id be very grateful thank you,0.4666071163481642,3
14044,there are also natural bonsai they form in small pockets of soil on certain rock formations and are really rare,there are also natural bonsai they form in small pockets of soil on certain rock formations and are really rare,0.466494876793072,17
4969,mich interessiert diese mal vor allem das technische innere der iphones beim macbook air m2 hat apple beim kleinsten speicher lediglich einen einzelnen baustein verbaut und die geräte sind deshalb angeblich langsam falls diese technik auch bei den iphones verbaut wird bin ich schon gespannt was drinnen ist und zum iphone mini ich könnte mir vorstellen dass dieses gerät in naher zukunft als iphone se 42024 oder se 52026 zurückkommt ,mich interessiert diese mal vor allem das technische innere der iphones beim macbook air m2 hat apple beim kleinsten speicher lediglich einen einzelnen baustein verbaut und die geräte sind deshalb angeblich langsam falls diese technik auch bei den iphones verbaut wird bin ich schon gespannt was drinnen ist und zum iphone mini ich könnte mir vorstellen dass dieses gerät in naher zukunft als iphone se 42024 oder se 52026 zurückkommt,0.4664278681971745,18
5439,what is the best quality of humans the ability to love what is the best quality of ai the ability to think logically these two things are sometimes at odds with each other which the ai most likely figured out which is why it immediately tried to justify it by mixing them both together one cannot simply be compassionate and be logical at the same time most of the time we sacrifice a lot in the name of love which logically we shouldnt as such an ai who doesnt understand love or attachment is an which does not care for either and will willingly do what is logical even if it leads to suffering in order to achieve an objective in other words we have a psychopathic ai,what is the best quality of humans the ability to love what is the best quality of ai the ability to think logically these two things are sometimes at odds with each other which the ai most likely figured out which is why it immediately tried to justify it by mixing them both together one cannot simply be compassionate and be logical at the same time most of the time we sacrifice a lot in the name of love which logically we shouldnt as such an ai who doesnt understand love or attachment is an which does not care for either and will willingly do what is logical even if it leads to suffering in order to achieve an objective in other words we have a psychopathic ai,0.466190920064279,5
